iter	Passed	Remaining
0	0	931
1	1	907
2	2	959
3	3	953
4	4	943
5	5	926
6	6	914
7	7	890
8	8	890
9	9	913
10	10	938
11	11	929
12	12	917
13	12	902
14	13	894
15	14	885
16	18	1082
17	19	1087
18	22	1143
19	23	1143
20	28	1346
21	29	1328
22	30	1313
23	34	1398
24	35	1377
25	36	1359
26	37	1346
27	38	1328
28	44	1479
29	45	1469
30	58	1843
31	60	1829
32	61	1807
33	63	1805
34	66	1824
35	67	1797
36	67	1766
37	68	1736
38	69	1707
39	69	1679
40	70	1660
41	72	1643
42	72	1622
43	73	1600
44	74	1578
45	75	1560
46	75	1539
47	76	1519
48	77	1501
49	78	1488
50	79	1477
51	81	1491
52	82	1482
53	84	1473
54	86	1483
55	87	1475
56	88	1469
57	89	1456
58	90	1443
59	91	1431
60	92	1426
61	93	1416
62	94	1405
63	95	1393
64	96	1381
65	96	1370
66	97	1358
67	98	1346
68	98	1333
69	99	1323
70	100	1316
71	101	1307
72	102	1297
73	102	1288
74	103	1278
75	104	1271
76	105	1264
77	106	1256
78	107	1250
79	108	1249
80	109	1242
81	110	1236
82	110	1224
83	111	1217
84	112	1209
85	113	1201
86	113	1194
87	114	1189
88	115	1185
89	116	1181
90	118	1180
91	118	1173
92	119	1165
93	120	1160
94	121	1153
95	122	1152
96	123	1147
97	123	1140
98	124	1133
99	125	1127
100	125	1120
101	126	1115
102	127	1109
103	128	1103
104	129	1099
105	130	1096
106	130	1092
107	131	1087
108	132	1082
109	133	1077
110	133	1072
111	134	1066
112	135	1061
113	136	1057
114	136	1053
115	137	1050
116	138	1044
117	139	1040
118	139	1036
119	140	1031
120	141	1026
121	141	1021
122	142	1016
123	143	1012
124	144	1011
125	145	1009
126	146	1004
127	146	1000
128	147	996
129	148	992
130	148	987
131	149	983
132	150	979
133	151	978
134	152	977
135	153	973
136	153	969
137	154	965
138	155	961
139	155	957
140	156	954
141	157	949
142	157	945
143	158	944
144	159	941
145	160	939
146	161	935
147	162	933
148	162	929
149	163	926
150	164	923
151	164	920
152	165	918
153	166	916
154	167	914
155	168	911
156	169	908
157	169	905
158	170	902
159	171	899
160	171	895
161	172	892
162	173	892
163	174	889
164	175	886
165	175	883
166	176	880
167	177	878
168	178	875
169	178	872
170	179	869
171	180	867
172	181	866
173	182	864
174	182	861
175	183	860
176	184	857
177	185	855
178	185	852
179	186	849
180	187	848
181	188	848
182	189	846
183	190	844
184	191	841
185	191	838
186	192	836
187	193	833
188	193	831
189	194	828
190	195	828
191	196	826
192	197	824
193	197	821
194	198	819
195	199	817
196	199	815
197	200	812
198	201	810
199	202	809
200	203	808
201	204	806
202	205	805
203	205	803
204	206	801
205	207	799
206	207	796
207	208	794
208	209	793
209	210	791
210	211	790
211	212	788
212	213	787
213	213	785
214	214	783
215	215	781
216	215	779
217	216	777
218	217	776
219	218	774
220	219	773
221	220	771
222	220	769
223	221	767
224	222	765
225	222	763
226	223	761
227	224	760
228	225	759
229	226	757
230	227	755
231	227	754
232	228	752
233	229	750
234	229	748
235	230	746
236	231	745
237	232	744
238	233	742
239	233	740
240	234	738
241	235	736
242	235	735
243	236	733
244	237	732
245	238	730
246	239	729
247	240	728
248	240	726
249	241	725
250	242	723
251	243	722
252	244	720
253	244	718
254	245	716
255	246	715
256	247	714
257	247	713
258	248	711
259	249	709
260	250	708
261	250	706
262	251	704
263	252	702
264	252	700
265	253	699
266	254	698
267	255	697
268	256	696
269	256	694
270	257	693
271	258	691
272	259	689
273	259	687
274	260	686
275	261	686
276	262	685
277	263	683
278	263	682
279	264	680
280	265	678
281	266	677
282	266	675
283	267	674
284	268	673
285	269	672
286	270	671
287	270	669
288	271	668
289	272	666
290	272	664
291	273	663
292	274	661
293	274	660
294	275	659
295	276	658
296	277	656
297	278	655
298	278	654
299	279	652
300	280	651
301	281	649
302	281	647
303	282	646
304	283	645
305	284	644
306	284	643
307	285	641
308	286	640
309	286	638
310	287	637
311	288	635
312	288	634
313	289	632
314	290	631
315	291	630
316	292	629
317	292	628
318	293	626
319	294	625
320	295	624
321	295	622
322	296	621
323	297	619
324	298	619
325	298	618
326	299	617
327	300	615
328	301	614
329	301	612
330	302	611
331	303	610
332	303	608
333	304	607
334	305	606
335	306	605
336	307	604
337	307	602
338	308	601
339	309	600
340	309	598
341	310	597
342	311	596
343	312	596
344	314	596
345	314	595
346	315	594
347	316	593
348	317	592
349	318	590
350	319	589
351	320	589
352	321	588
353	321	587
354	322	586
355	323	584
356	323	583
357	324	581
358	325	580
359	325	579
360	326	578
361	327	577
362	328	576
363	329	575
364	329	573
365	330	572
366	331	571
